id,id_type,in_logs,in_sample_list,location,mismatch
SAMN13336157,SAMN,True,True,first_column,False
SAMN13336158,SAMN,True,True,first_column,False
SAMN21555485,SAMN,True,True,first_column,False
SAMN21555487,SAMN,True,True,first_column,False
SAMN21555493,SAMN,True,True,first_column,False
SAMN21555495,SAMN,True,True,first_column,False
SAMN21555505,SAMN,True,True,first_column,False
SAMN21555507,SAMN,True,True,first_column,False
SAMN21555509,SAMN,True,True,first_column,False
SAMN21555513,SAMN,True,True,first_column,False
SAMN21555515,SAMN,True,True,first_column,False
SAMN21555517,SAMN,True,True,first_column,False
SAMN21555519,SAMN,True,True,first_column,False
SRR10502316,SRR,True,False,none,True
SRR10502317,SRR,True,False,none,True
SRR16013047,SRR,True,False,none,True
SRR16013049,SRR,True,False,none,True
SRR16013055,SRR,True,False,none,True
SRR16013057,SRR,True,False,none,True
SRR16013058,SRR,True,False,none,True
SRR16013062,SRR,True,False,none,True
SRR16013063,SRR,True,False,none,True
SRR16013066,SRR,True,False,none,True
SRR16013068,SRR,True,False,none,True
SRR16013069,SRR,True,False,none,True
SRR16013075,SRR,True,False,none,True
SRR16013076,SRR,True,False,none,True
SRR16013077,SRR,True,False,none,True
SRR16013081,SRR,True,False,none,True
SRR16013085,SRR,True,False,none,True
SRR16013086,SRR,True,False,none,True
SRR16013087,SRR,True,False,none,True
SRR16013089,SRR,True,False,none,True
