id,id_type,in_logs,in_sample_list,location,mismatch
ERR2278845,ERR,True,False,none,True
ERR2278846,ERR,True,False,none,True
ERR2278847,ERR,True,False,none,True
ERR2278850,ERR,True,False,none,True
ERR2278852,ERR,True,False,none,True
ERR2278854,ERR,True,False,none,True
ERR2278856,ERR,True,False,none,True
ERR2278862,ERR,True,False,none,True
ERR2278865,ERR,True,False,none,True
ERR2278866,ERR,True,False,none,True
ERR2278868,ERR,True,False,none,True
ERR2278869,ERR,True,False,none,True
ERR2278876,ERR,True,False,none,True
ERR2278877,ERR,True,False,none,True
ERR2278881,ERR,True,False,none,True
ERR2278882,ERR,True,False,none,True
SAMEA104561904,SAMEA,True,True,first_column,False
SAMEA104561905,SAMEA,True,True,first_column,False
SAMEA104561906,SAMEA,True,True,first_column,False
SAMEA104561909,SAMEA,True,True,first_column,False
SAMEA104561911,SAMEA,True,True,first_column,False
SAMEA104561913,SAMEA,True,True,first_column,False
SAMEA104561915,SAMEA,True,True,first_column,False
SAMEA104561921,SAMEA,True,True,first_column,False
SAMEA104561924,SAMEA,True,True,first_column,False
SAMEA104561925,SAMEA,True,True,first_column,False
SAMEA104561927,SAMEA,True,True,first_column,False
SAMEA104561928,SAMEA,True,True,first_column,False
SAMEA104561935,SAMEA,True,True,first_column,False
SAMEA104561936,SAMEA,True,True,first_column,False
SAMEA104561940,SAMEA,True,True,first_column,False
SAMEA104561941,SAMEA,True,True,first_column,False
SAMN09862100,SAMN,True,False,none,True
SAMN09862101,SAMN,True,True,first_column,False
SAMN09862102,SAMN,True,True,first_column,False
SAMN09862103,SAMN,True,True,first_column,False
SAMN09862104,SAMN,True,True,first_column,False
SAMN09862105,SAMN,True,True,first_column,False
SAMN13336157,SAMN,True,True,first_column,False
SAMN13336158,SAMN,True,True,first_column,False
SAMN13336160,SAMN,True,True,first_column,False
SAMN13336161,SAMN,True,True,first_column,False
SAMN15812409,SAMN,True,True,first_column,False
SAMN15812410,SAMN,True,True,first_column,False
SAMN15812411,SAMN,True,True,first_column,False
SAMN15812412,SAMN,True,True,first_column,False
SAMN15812413,SAMN,True,True,first_column,False
SAMN15812414,SAMN,True,True,first_column,False
SAMN15812415,SAMN,True,True,first_column,False
SAMN15812416,SAMN,True,True,first_column,False
SAMN15812417,SAMN,True,True,first_column,False
SAMN15812418,SAMN,True,True,first_column,False
SAMN19580774,SAMN,True,True,first_column,False
SAMN19580777,SAMN,True,True,first_column,False
SAMN19580778,SAMN,True,True,first_column,False
SAMN19580779,SAMN,True,True,first_column,False
SAMN19580780,SAMN,True,True,first_column,False
SAMN21555486,SAMN,True,True,first_column,False
SAMN21555488,SAMN,True,True,first_column,False
SAMN21555494,SAMN,True,True,first_column,False
SAMN21555496,SAMN,True,True,first_column,False
SAMN21555506,SAMN,True,True,first_column,False
SAMN21555508,SAMN,True,True,first_column,False
SAMN21555510,SAMN,True,True,first_column,False
SAMN21555514,SAMN,True,True,first_column,False
SAMN21555516,SAMN,True,True,first_column,False
SAMN21555518,SAMN,True,True,first_column,False
SAMN21555520,SAMN,True,True,first_column,False
SAMN43394768,SAMN,True,True,first_column,False
SAMN43394771,SAMN,True,True,first_column,False
SAMN43394775,SAMN,True,True,first_column,False
SAMN43394784,SAMN,True,True,first_column,False
SAMN43394790,SAMN,True,True,first_column,False
SAMN43394792,SAMN,True,True,first_column,False
SAMN43394810,SAMN,True,True,first_column,False
SAMN43394811,SAMN,True,True,first_column,False
SAMN43394818,SAMN,True,True,first_column,False
SAMN43394827,SAMN,True,True,first_column,False
SAMN43394835,SAMN,True,True,first_column,False
SAMN43394840,SAMN,True,True,first_column,False
SAMN43394844,SAMN,True,True,first_column,False
SAMN43394845,SAMN,True,True,first_column,False
SAMN43394846,SAMN,True,True,first_column,False
SAMN43394853,SAMN,True,True,first_column,False
SAMN43394854,SAMN,True,True,first_column,False
SAMN43394855,SAMN,True,True,first_column,False
SAMN43394861,SAMN,True,True,first_column,False
SAMN43394863,SAMN,True,True,first_column,False
SAMN43394864,SAMN,True,True,first_column,False
SRR10502313,SRR,True,False,none,True
SRR10502314,SRR,True,False,none,True
SRR10502316,SRR,True,False,none,True
SRR10502317,SRR,True,False,none,True
SRR123,SRR,True,False,none,True
SRR12446900,SRR,True,False,none,True
SRR12446901,SRR,True,False,none,True
SRR12446902,SRR,True,False,none,True
SRR12446903,SRR,True,False,none,True
SRR12446904,SRR,True,False,none,True
SRR12446905,SRR,True,False,none,True
SRR12446906,SRR,True,False,none,True
SRR12446907,SRR,True,False,none,True
SRR12446908,SRR,True,False,none,True
SRR12446909,SRR,True,False,none,True
SRR14740626,SRR,True,False,none,True
SRR14740627,SRR,True,False,none,True
SRR14740628,SRR,True,False,none,True
SRR14740629,SRR,True,False,none,True
SRR14740632,SRR,True,False,none,True
SRR16013048,SRR,True,False,none,True
SRR16013050,SRR,True,False,none,True
SRR16013056,SRR,True,False,none,True
SRR16013059,SRR,True,False,none,True
SRR16013064,SRR,True,False,none,True
SRR16013065,SRR,True,False,none,True
SRR16013067,SRR,True,False,none,True
SRR16013070,SRR,True,False,none,True
SRR16013078,SRR,True,False,none,True
SRR16013079,SRR,True,False,none,True
SRR16013080,SRR,True,False,none,True
SRR16013082,SRR,True,False,none,True
SRR16013083,SRR,True,False,none,True
SRR16013084,SRR,True,False,none,True
SRR16013088,SRR,True,False,none,True
SRR16013090,SRR,True,False,none,True
SRR30787015,SRR,True,False,none,True
SRR30787018,SRR,True,False,none,True
SRR30787022,SRR,True,False,none,True
SRR30787031,SRR,True,False,none,True
SRR30787037,SRR,True,False,none,True
SRR30787039,SRR,True,False,none,True
SRR30787057,SRR,True,False,none,True
SRR30787058,SRR,True,False,none,True
SRR30787065,SRR,True,False,none,True
SRR30787074,SRR,True,False,none,True
SRR30787082,SRR,True,False,none,True
SRR30787096,SRR,True,False,none,True
SRR30787100,SRR,True,False,none,True
SRR30787101,SRR,True,False,none,True
SRR30787102,SRR,True,False,none,True
SRR30787109,SRR,True,False,none,True
SRR30787110,SRR,True,False,none,True
SRR30787111,SRR,True,False,none,True
SRR30787117,SRR,True,False,none,True
SRR30787119,SRR,True,False,none,True
SRR30787120,SRR,True,False,none,True
SRR7718977,SRR,True,False,none,True
SRR7718978,SRR,True,False,none,True
SRR7718979,SRR,True,False,none,True
SRR7718980,SRR,True,False,none,True
SRR7718981,SRR,True,False,none,True
SRR7718982,SRR,True,False,none,True
