sample_id,srr_ids,r1_list,r2_list
SAMD00175977,DRR182532,DRR182532_1.fastq.gz,NA
SAMD00175978,DRR182533,DRR182533_1.fastq.gz,NA
SAMD00175979,DRR182534,DRR182534_1.fastq.gz,NA
SAMD00175980,DRR182535,DRR182535_1.fastq.gz,NA
SAMD00175981,DRR182536,DRR182536_1.fastq.gz,NA
SAMD00175982,DRR182537,DRR182537_1.fastq.gz,NA
SAMD00175983,DRR182538,DRR182538_1.fastq.gz,NA
SAMD00175984,DRR182539,DRR182539_1.fastq.gz,NA
SAMD00175985,DRR182540,DRR182540_1.fastq.gz,NA
SAMD00175986,DRR182541,DRR182541_1.fastq.gz,NA
SAMD00175987,DRR182542,DRR182542_1.fastq.gz,NA
SAMD00175988,DRR182543,DRR182543_1.fastq.gz,NA
SAMD00175989,DRR182544,DRR182544_1.fastq.gz,NA
SAMD00175990,DRR182545,DRR182545_1.fastq.gz,NA
SAMD00254734,DRR253234,DRR253234_1.fastq.gz,NA
SAMD00254735,DRR253235,DRR253235_1.fastq.gz,NA
SAMD00254736,DRR253236,DRR253236_1.fastq.gz,NA
SAMD00254737,DRR253237,DRR253237_1.fastq.gz,NA
SAMD00254738,DRR253238,DRR253238_1.fastq.gz,NA
SAMD00254739,DRR253239,DRR253239_1.fastq.gz,NA
SAMD00254740,DRR253240,DRR253240_1.fastq.gz,NA
SAMD00254741,DRR253241,DRR253241_1.fastq.gz,NA
SAMD00254742,DRR253242,DRR253242_1.fastq.gz,NA
SAMD00254743,DRR253243,DRR253243_1.fastq.gz,NA
SAMD00254744,DRR253244,DRR253244_1.fastq.gz,NA
SAMD00254745,DRR253245,DRR253245_1.fastq.gz,NA
SAMD00254746,DRR253246,DRR253246_1.fastq.gz,NA
SAMD00254747,DRR253247,DRR253247_1.fastq.gz,NA
SAMD00254748,DRR253248,DRR253248_1.fastq.gz,NA
SAMD00254749,DRR253249,DRR253249_1.fastq.gz,NA
SAMD00254750,DRR253250,DRR253250_1.fastq.gz,NA
SAMD00254751,DRR253251,DRR253251_1.fastq.gz,NA
SAMD00254752,DRR253252,DRR253252_1.fastq.gz,NA
SAMD00254753,DRR253253,DRR253253_1.fastq.gz,NA
SAMD00254754,DRR253254,DRR253254_1.fastq.gz,NA
SAMD00254755,DRR253255,DRR253255_1.fastq.gz,NA
SAMD00254756,DRR253256,DRR253256_1.fastq.gz,NA
SAMD00254757,DRR253257,DRR253257_1.fastq.gz,NA
SAMD00254758,DRR253258,DRR253258_1.fastq.gz,NA
SAMD00254759,DRR253259,DRR253259_1.fastq.gz,NA
SAMD00254760,DRR253260,DRR253260_1.fastq.gz,NA
SAMD00254761,DRR253261,DRR253261_1.fastq.gz,NA
SAMD00254762,DRR253262,DRR253262_1.fastq.gz,NA
SAMD00254763,DRR253263,DRR253263_1.fastq.gz,NA
SAMD00254764,DRR253264,DRR253264_1.fastq.gz,NA
SAMD00254765,DRR253265,DRR253265_1.fastq.gz,NA
SAMD00254766,DRR253266,DRR253266_1.fastq.gz,NA
SAMD00254767,DRR253267,DRR253267_1.fastq.gz,NA
SAMD00254768,DRR253268,DRR253268_1.fastq.gz,NA
SAMD00254769,DRR253269,DRR253269_1.fastq.gz,NA
SAMEA104561904,ERR2278845,ERR2278845_1.fastq.gz,NA
SAMEA104561905,ERR2278846,ERR2278846_1.fastq.gz,NA
SAMEA104561906,ERR2278847,ERR2278847_1.fastq.gz,NA
SAMEA104561907,ERR2278848,ERR2278848_1.fastq.gz,NA
SAMEA104561908,ERR2278849,ERR2278849_1.fastq.gz,NA
SAMEA104561909,ERR2278850,ERR2278850_1.fastq.gz,NA
SAMEA104561910,ERR2278851,ERR2278851_1.fastq.gz,NA
SAMEA104561911,ERR2278852,ERR2278852_1.fastq.gz,NA
SAMEA104561912,ERR2278853,ERR2278853_1.fastq.gz,NA
SAMEA104561913,ERR2278854,ERR2278854_1.fastq.gz,NA
SAMEA104561914,ERR2278855,ERR2278855_1.fastq.gz,NA
SAMEA104561915,ERR2278856,ERR2278856_1.fastq.gz,NA
SAMEA104561916,ERR2278857,ERR2278857_1.fastq.gz,NA
SAMEA104561917,ERR2278858,ERR2278858_1.fastq.gz,NA
SAMEA104561918,ERR2278859,ERR2278859_1.fastq.gz,NA
SAMEA104561919,ERR2278860,ERR2278860_1.fastq.gz,NA
SAMEA104561920,ERR2278861,ERR2278861_1.fastq.gz,NA
SAMEA104561921,ERR2278862,ERR2278862_1.fastq.gz,NA
SAMEA104561922,ERR2278863,ERR2278863_1.fastq.gz,NA
SAMEA104561923,ERR2278864,ERR2278864_1.fastq.gz,NA
SAMEA104561924,ERR2278865,ERR2278865_1.fastq.gz,NA
SAMEA104561925,ERR2278866,ERR2278866_1.fastq.gz,NA
SAMEA104561926,ERR2278867,ERR2278867_1.fastq.gz,NA
SAMEA104561927,ERR2278868,ERR2278868_1.fastq.gz,NA
SAMEA104561928,ERR2278869,ERR2278869_1.fastq.gz,NA
SAMEA104561929,ERR2278870,ERR2278870_1.fastq.gz,NA
SAMEA104561930,ERR2278871,ERR2278871_1.fastq.gz,NA
SAMEA104561931,ERR2278872,ERR2278872_1.fastq.gz,NA
SAMEA104561932,ERR2278873,ERR2278873_1.fastq.gz,NA
SAMEA104561933,ERR2278874,ERR2278874_1.fastq.gz,NA
SAMEA104561934,ERR2278875,ERR2278875_1.fastq.gz,NA
SAMEA104561935,ERR2278876,ERR2278876_1.fastq.gz,NA
SAMEA104561936,ERR2278877,ERR2278877_1.fastq.gz,NA
SAMEA104561937,ERR2278878,ERR2278878_1.fastq.gz,NA
SAMEA104561938,ERR2278879,ERR2278879_1.fastq.gz,NA
SAMEA104561939,ERR2278880,ERR2278880_1.fastq.gz,NA
SAMEA104561940,ERR2278881,ERR2278881_1.fastq.gz,NA
SAMEA104561941,ERR2278882,ERR2278882_1.fastq.gz,NA
SAMEA104561942,ERR2278883,ERR2278883_1.fastq.gz,NA
SAMEA104561943,ERR2278884,ERR2278884_1.fastq.gz,NA
SAMEA104561944,ERR2278885,ERR2278885_1.fastq.gz,NA
SAMEA110464434,ERR10031366,ERR10031366_1.fastq.gz,NA
SAMEA110464435,ERR10031367,ERR10031367_1.fastq.gz,NA
SAMEA110464436,ERR10031368,ERR10031368_1.fastq.gz,NA
SAMEA110464437,ERR10031369,ERR10031369_1.fastq.gz,NA
SAMEA110464438,ERR10031370,ERR10031370_1.fastq.gz,NA
SAMEA2804136,ERR649035,ERR649035_1.fastq.gz,NA
SAMEA2804137,ERR649053,ERR649053_1.fastq.gz,NA
SAMEA2804138,ERR649022,ERR649022_1.fastq.gz,NA
SAMEA2804139,ERR649026,ERR649026_1.fastq.gz,NA
SAMEA2804140,ERR649029,ERR649029_1.fastq.gz,NA
SAMEA2804141,ERR649030,ERR649030_1.fastq.gz,NA
SAMEA2804142,ERR649038,ERR649038_1.fastq.gz,NA
SAMEA2804143,ERR649046,ERR649046_1.fastq.gz,NA
SAMEA2804144,ERR649049,ERR649049_1.fastq.gz,NA
SAMEA2804145,ERR649019,ERR649019_1.fastq.gz,NA
SAMEA2804146,ERR649043,ERR649043_1.fastq.gz,NA
SAMEA2804147,ERR649052,ERR649052_1.fastq.gz,NA
SAMEA2804148,ERR649066,ERR649066_1.fastq.gz,NA
SAMEA2804149,ERR649034,ERR649034_1.fastq.gz,NA
SAMEA2804150,ERR649058,ERR649058_1.fastq.gz,NA
SAMEA2804151,ERR649059,ERR649059_1.fastq.gz,NA
SAMEA2804152,ERR649062,ERR649062_1.fastq.gz,NA
SAMEA2804153,ERR649069,ERR649069_1.fastq.gz,NA
SAMEA2804154,ERR649072,ERR649072_1.fastq.gz,NA
SAMEA2804174,ERR649025,ERR649025_1.fastq.gz,NA
SAMEA2804175,ERR649045,ERR649045_1.fastq.gz,NA
SAMEA2804176,ERR649020,ERR649020_1.fastq.gz,NA
SAMEA2804177,ERR649024,ERR649024_1.fastq.gz,NA
SAMEA2804178,ERR649027,ERR649027_1.fastq.gz,NA
SAMEA2804179,ERR649032,ERR649032_1.fastq.gz,NA
SAMEA2804180,ERR649040,ERR649040_1.fastq.gz,NA
SAMEA2804181,ERR649048,ERR649048_1.fastq.gz,NA
SAMEA2804182,ERR649051,ERR649051_1.fastq.gz,NA
SAMEA2804183,ERR649042,ERR649042_1.fastq.gz,NA
SAMEA2804184,ERR649044,ERR649044_1.fastq.gz,NA
SAMEA2804185,ERR649054,ERR649054_1.fastq.gz,NA
SAMEA2804186,ERR649068,ERR649068_1.fastq.gz,NA
SAMEA2804187,ERR649036,ERR649036_1.fastq.gz,NA
SAMEA2804188,ERR649056,ERR649056_1.fastq.gz,NA
SAMEA2804189,ERR649061,ERR649061_1.fastq.gz,NA
SAMEA2804190,ERR649065,ERR649065_1.fastq.gz,NA
SAMEA2804191,ERR649071,ERR649071_1.fastq.gz,NA
SAMEA2804192,ERR649074,ERR649074_1.fastq.gz,NA
SAMEA3670226,ERR1141690,ERR1141690_1.fastq.gz,NA
SAMEA3670228,ERR1141692,ERR1141692_1.fastq.gz,NA
SAMEA3670233,ERR1141697,ERR1141697_1.fastq.gz,NA
SAMEA3670235,ERR1141699,ERR1141699_1.fastq.gz,NA
SAMEA3670236,ERR1141700,ERR1141700_1.fastq.gz,NA
SAMEA3670239,ERR1141703,ERR1141703_1.fastq.gz,NA
SAMEA3670240,ERR1141704,ERR1141704_1.fastq.gz,NA
SAMEA3670241,ERR1141705,ERR1141705_1.fastq.gz,NA
SAMEA3670242,ERR1141706,ERR1141706_1.fastq.gz,NA
SAMEA3670243,ERR1141707,ERR1141707_1.fastq.gz,NA
SAMEA3670244,ERR1141708,ERR1141708_1.fastq.gz,NA
SAMEA3670245,ERR1141709,ERR1141709_1.fastq.gz,NA
SAMEA3670246,ERR1141710,ERR1141710_1.fastq.gz,NA
SAMEA3670247,ERR1141711,ERR1141711_1.fastq.gz,NA
SAMEA3670248,ERR1141712,ERR1141712_1.fastq.gz,NA
SAMEA3670249,ERR1141713,ERR1141713_1.fastq.gz,NA
SAMEA3670250,ERR1141714,ERR1141714_1.fastq.gz,NA
SAMEA3670251,ERR1141715,ERR1141715_1.fastq.gz,NA
SAMEA3670252,ERR1141716,ERR1141716_1.fastq.gz,NA
SAMEA3670253,ERR1141717,ERR1141717_1.fastq.gz,NA
SAMEA3670254,ERR1141718,ERR1141718_1.fastq.gz,NA
SAMEA3670255,ERR1141719,ERR1141719_1.fastq.gz,NA
SAMEA3670256,ERR1141720,ERR1141720_1.fastq.gz,NA
SAMEA3670257,ERR1141721,ERR1141721_1.fastq.gz,NA
SAMEA3670258,ERR1141722,ERR1141722_1.fastq.gz,NA
SAMEA3670259,ERR1141723,ERR1141723_1.fastq.gz,NA
SAMEA3670260,ERR1141724,ERR1141724_1.fastq.gz,NA
SAMEA3670261,ERR1141725,ERR1141725_1.fastq.gz,NA
SAMEA3670262,ERR1141726,ERR1141726_1.fastq.gz,NA
SAMEA3670263,ERR1141727,ERR1141727_1.fastq.gz,NA
SAMEA3670264,ERR1141728,ERR1141728_1.fastq.gz,NA
SAMEA3670265,ERR1141729,ERR1141729_1.fastq.gz,NA
SAMEA3670266,ERR1141730,ERR1141730_1.fastq.gz,NA
SAMEA3670267,ERR1141731,ERR1141731_1.fastq.gz,NA
SAMEA3670268,ERR1141732,ERR1141732_1.fastq.gz,NA
SAMEA3670269,ERR1141733,ERR1141733_1.fastq.gz,NA
SAMEA6379812,ERR3728075,ERR3728075_1.fastq.gz,NA
SAMEA6379813,ERR3728076,ERR3728076_1.fastq.gz,NA
SAMEA9088892,ERR5992779,ERR5992779_1.fastq.gz,NA
SAMEA9088893,ERR5992780,ERR5992780_1.fastq.gz,NA
SAMEA9088894,ERR5992781,ERR5992781_1.fastq.gz,NA
SAMEA9088895,ERR5992782,ERR5992782_1.fastq.gz,NA
SAMEA9088896,ERR5992783,ERR5992783_1.fastq.gz,NA
SAMEA9088897,ERR5992784,ERR5992784_1.fastq.gz,NA
SAMEA9088898,ERR5992785,ERR5992785_1.fastq.gz,NA
SAMEA9088899,ERR5992786,ERR5992786_1.fastq.gz,NA
SAMEA9088900,ERR5992787,ERR5992787_1.fastq.gz,NA
SAMEA9088901,ERR5992788,ERR5992788_1.fastq.gz,NA
SAMEA9088902,ERR5992789,ERR5992789_1.fastq.gz,NA
SAMEA9088913,ERR5992800,ERR5992800_1.fastq.gz,NA
SAMEA9088914,ERR5992801,ERR5992801_1.fastq.gz,NA
SAMEA9088915,ERR5992802,ERR5992802_1.fastq.gz,NA
SAMEA9088916,ERR5992803,ERR5992803_1.fastq.gz,NA
SAMEA9088917,ERR5992804,ERR5992804_1.fastq.gz,NA
SAMEA9088919,ERR5992805,ERR5992805_1.fastq.gz,NA
SAMEA9088920,ERR5992806,ERR5992806_1.fastq.gz,NA
SAMEA9088921,ERR5992807,ERR5992807_1.fastq.gz,NA
SAMEA9088922,ERR5992808,ERR5992808_1.fastq.gz,NA
SAMEA9088923,ERR5992809,ERR5992809_1.fastq.gz,NA
SAMEA9088924,ERR5992810,ERR5992810_1.fastq.gz,NA
SAMEA9088925,ERR5992811,ERR5992811_1.fastq.gz,NA
SAMEA9088926,ERR5992812,ERR5992812_1.fastq.gz,NA
SAMEA9088927,ERR5992813,ERR5992813_1.fastq.gz,NA
SAMEA9088928,ERR5992814,ERR5992814_1.fastq.gz,NA
SAMEA9088929,ERR5992815,ERR5992815_1.fastq.gz,NA
SAMN01136907,SRR587175,SRR587175_1.fastq.gz,NA
SAMN01136947,SRR587177,SRR587177_1.fastq.gz,NA
SAMN01137005,SRR587176,SRR587176_1.fastq.gz,NA
SAMN01137118,SRR587178,SRR587178_1.fastq.gz,NA
SAMN01760582,SRR923783,SRR923783_1.fastq.gz,NA
SAMN01760591,SRR923795,SRR923795_1.fastq.gz,NA
SAMN01760599,SRR923782,SRR923782_1.fastq.gz,NA
SAMN03174076,SRR1646789,SRR1646789_1.fastq.gz,NA
SAMN03174078,SRR1646786,SRR1646786_1.fastq.gz,NA
SAMN03174079,SRR1646788,SRR1646788_1.fastq.gz,NA
SAMN03174083,SRR1646784,SRR1646784_1.fastq.gz,NA
SAMN03174085,SRR1646790,SRR1646790_1.fastq.gz,NA
SAMN03174089,SRR1646791,SRR1646791_1.fastq.gz,NA
SAMN03174094,SRR1646785,SRR1646785_1.fastq.gz,NA
SAMN03174095,SRR1646787,SRR1646787_1.fastq.gz,NA
SAMN03296008,SRR1777846,SRR1777846_1.fastq.gz,NA
SAMN03296009,SRR1777866,SRR1777866_1.fastq.gz,NA
SAMN03296012,SRR1777869,SRR1777869_1.fastq.gz,NA
SAMN03753989,SRR2046423,SRR2046423_1.fastq.gz,NA
SAMN03753990,SRR2046425,SRR2046425_1.fastq.gz,NA
SAMN03753991,SRR2046426,SRR2046426_1.fastq.gz,NA
SAMN03753992,SRR2046430,SRR2046430_1.fastq.gz,NA
SAMN03753993,SRR2046431,SRR2046431_1.fastq.gz,NA
SAMN03753994,SRR2046433,SRR2046433_1.fastq.gz,NA
SAMN03852583,SRR2094282,SRR2094282_1.fastq.gz,NA
SAMN03852586,SRR2094285,SRR2094285_1.fastq.gz,NA
SAMN04306172,SRR3214894,SRR3214894_1.fastq.gz,NA
SAMN04306202,SRR3214902,SRR3214902_1.fastq.gz,NA
SAMN04306213,SRR3214904,SRR3214904_1.fastq.gz,NA
SAMN04306245,SRR3214900,SRR3214900_1.fastq.gz,NA
SAMN04306357,SRR3214871,SRR3214871_1.fastq.gz,NA
SAMN04306371,SRR3214899,SRR3214899_1.fastq.gz,NA
SAMN04306418,SRR3214906,SRR3214906_1.fastq.gz,NA
SAMN04306452,SRR3214905,SRR3214905_1.fastq.gz,NA
SAMN04306512,SRR3214901,SRR3214901_1.fastq.gz,NA
SAMN04306522,SRR3214903,SRR3214903_1.fastq.gz,NA
SAMN04349058,SRR3081601,SRR3081601_1.fastq.gz,NA
SAMN04349059,SRR3081602,SRR3081602_1.fastq.gz,NA
SAMN04349060,SRR3081603,SRR3081603_1.fastq.gz,NA
SAMN04349061,SRR3081604,SRR3081604_1.fastq.gz,NA
SAMN04349062,SRR3081605,SRR3081605_1.fastq.gz,NA
SAMN04349063,SRR3081606,SRR3081606_1.fastq.gz,NA
SAMN04349064,SRR3081607,SRR3081607_1.fastq.gz,NA
SAMN04349065,SRR3081608,SRR3081608_1.fastq.gz,NA
SAMN04349066,SRR3081609,SRR3081609_1.fastq.gz,NA
SAMN04349067,SRR3081610,SRR3081610_1.fastq.gz,NA
SAMN04349068,SRR3081611,SRR3081611_1.fastq.gz,NA
SAMN04349069,SRR3081612,SRR3081612_1.fastq.gz,NA
SAMN04349070,SRR3081613,SRR3081613_1.fastq.gz,NA
SAMN04349071,SRR3081614,SRR3081614_1.fastq.gz,NA
SAMN04349072,SRR3081615,SRR3081615_1.fastq.gz,NA
SAMN04349073,SRR3081616,SRR3081616_1.fastq.gz,NA
SAMN04349074,SRR3081617,SRR3081617_1.fastq.gz,NA
SAMN04349075,SRR3081618,SRR3081618_1.fastq.gz,NA
SAMN04349076,SRR3081619,SRR3081619_1.fastq.gz,NA
SAMN04349077,SRR3081620,SRR3081620_1.fastq.gz,NA
SAMN04349078,SRR3081621,SRR3081621_1.fastq.gz,NA
SAMN04349079,SRR3081622,SRR3081622_1.fastq.gz,NA
SAMN04349080,SRR3081623,SRR3081623_1.fastq.gz,NA
SAMN04349081,SRR3081624,SRR3081624_1.fastq.gz,NA
SAMN04349082,SRR3081625,SRR3081625_1.fastq.gz,NA
SAMN04349083,SRR3081626,SRR3081626_1.fastq.gz,NA
SAMN04349084,SRR3081627,SRR3081627_1.fastq.gz,NA
SAMN04349085,SRR3081628,SRR3081628_1.fastq.gz,NA
SAMN04349086,SRR3081629,SRR3081629_1.fastq.gz,NA
SAMN04349087,SRR3081630,SRR3081630_1.fastq.gz,NA
SAMN04349088,SRR3081631,SRR3081631_1.fastq.gz,NA
SAMN04349089,SRR3081632,SRR3081632_1.fastq.gz,NA
SAMN04349090,SRR3081633,SRR3081633_1.fastq.gz,NA
SAMN04349091,SRR3081634,SRR3081634_1.fastq.gz,NA
SAMN04349092,SRR3081635,SRR3081635_1.fastq.gz,NA
SAMN04349093,SRR3081636,SRR3081636_1.fastq.gz,NA
SAMN04349094,SRR3081637,SRR3081637_1.fastq.gz,NA
SAMN04349095,SRR3081638,SRR3081638_1.fastq.gz,NA
SAMN04349096,SRR3081639,SRR3081639_1.fastq.gz,NA
SAMN04349097,SRR3081640,SRR3081640_1.fastq.gz,NA
SAMN04349098,SRR3081641,SRR3081641_1.fastq.gz,NA
SAMN04349099,SRR3081642,SRR3081642_1.fastq.gz,NA
SAMN04349100,SRR3081643,SRR3081643_1.fastq.gz,NA
SAMN04349101,SRR3081644,SRR3081644_1.fastq.gz,NA
SAMN04349102,SRR3081645,SRR3081645_1.fastq.gz,NA
SAMN04349103,SRR3081646,SRR3081646_1.fastq.gz,NA
SAMN04349104,SRR3081647,SRR3081647_1.fastq.gz,NA
SAMN04372240,SRR3056922,SRR3056922_1.fastq.gz,NA
SAMN04372241,SRR3056923,SRR3056923_1.fastq.gz,NA
SAMN04372242,SRR3056924,SRR3056924_1.fastq.gz,NA
SAMN04889723,SRR3426643,SRR3426643_1.fastq.gz,NA
SAMN04889724,SRR3426644,SRR3426644_1.fastq.gz,NA
SAMN04889733,SRR3426653,SRR3426653_1.fastq.gz,NA
SAMN04889734,SRR3426654,SRR3426654_1.fastq.gz,NA
SAMN04889735,SRR3426655,SRR3426655_1.fastq.gz,NA
SAMN04889736,SRR3426656,SRR3426656_1.fastq.gz,NA
SAMN04889737,SRR3426657,SRR3426657_1.fastq.gz,NA
SAMN04889738,SRR3426658,SRR3426658_1.fastq.gz,NA
SAMN05338791,SRR4306272,SRR4306272_1.fastq.gz,NA
SAMN05861197,SRR3880241,SRR3880241_1.fastq.gz,NA
SAMN06299371,"SRR5230947,SRR5230948","SRR5230947_1.fastq.gz,SRR5230948_1.fastq.gz",NA
SAMN06299372,"SRR5230942,SRR5230943","SRR5230942_1.fastq.gz,SRR5230943_1.fastq.gz",NA
SAMN06299373,"SRR5230944,SRR5230945,SRR5230946","SRR5230944_1.fastq.gz,SRR5230945_1.fastq.gz,SRR5230946_1.fastq.gz",NA
SAMN07246723,SRR5685238,SRR5685238_1.fastq.gz,NA
SAMN07246724,SRR5685239,SRR5685239_1.fastq.gz,NA
SAMN07246725,SRR5685240,SRR5685240_1.fastq.gz,NA
SAMN07246726,SRR5685241,SRR5685241_1.fastq.gz,NA
SAMN07246727,SRR5685242,SRR5685242_1.fastq.gz,NA
SAMN07246728,SRR5685243,SRR5685243_1.fastq.gz,NA
SAMN07246729,SRR5685244,SRR5685244_1.fastq.gz,NA
SAMN07246730,SRR5685245,SRR5685245_1.fastq.gz,NA
SAMN07246731,SRR5685271,SRR5685271_1.fastq.gz,NA
SAMN07246732,SRR5685247,SRR5685247_1.fastq.gz,NA
SAMN07246733,SRR5685253,SRR5685253_1.fastq.gz,NA
SAMN07246734,SRR5685254,SRR5685254_1.fastq.gz,NA
SAMN07246735,SRR5685255,SRR5685255_1.fastq.gz,NA
SAMN07246736,SRR5685256,SRR5685256_1.fastq.gz,NA
SAMN07246737,SRR5685249,SRR5685249_1.fastq.gz,NA
SAMN07246738,SRR5685250,SRR5685250_1.fastq.gz,NA
SAMN07246739,SRR5685251,SRR5685251_1.fastq.gz,NA
SAMN07246740,SRR5685252,SRR5685252_1.fastq.gz,NA
SAMN07246741,SRR5685259,SRR5685259_1.fastq.gz,NA
SAMN07246742,SRR5685260,SRR5685260_1.fastq.gz,NA
SAMN07246743,SRR5685273,SRR5685273_1.fastq.gz,NA
SAMN07246744,SRR5685272,SRR5685272_1.fastq.gz,NA
SAMN07246745,SRR5685275,SRR5685275_1.fastq.gz,NA
SAMN07246746,SRR5685274,SRR5685274_1.fastq.gz,NA
