SAMEA6871065	ERR4190194_1.fastq.gz	ERR4190194_2.fastq.gz
SAMEA6871083	ERR4190212_1.fastq.gz	ERR4190212_2.fastq.gz
SAMEA6871084	ERR4190213_1.fastq.gz	ERR4190213_2.fastq.gz
SAMEA6871236	ERR4190364_1.fastq.gz	ERR4190364_2.fastq.gz
SAMEA6941693	ERR4230614_1.fastq.gz	ERR4230614_2.fastq.gz
SAMEA6941720	ERR4230641_1.fastq.gz	ERR4230641_2.fastq.gz
SAMEA9088892	ERR5992779_1.fastq.gz	ERR5992779_2.fastq.gz
SAMEA9088893	ERR5992780_1.fastq.gz	ERR5992780_2.fastq.gz
SAMEA9088894	ERR5992781_1.fastq.gz	ERR5992781_2.fastq.gz
SAMEA9088895	ERR5992782_1.fastq.gz	ERR5992782_2.fastq.gz
SAMEA9088896	ERR5992783_1.fastq.gz	ERR5992783_2.fastq.gz
SAMEA9088897	ERR5992784_1.fastq.gz	ERR5992784_2.fastq.gz
SAMEA9088898	ERR5992785_1.fastq.gz	ERR5992785_2.fastq.gz
SAMEA9088899	ERR5992786_1.fastq.gz	ERR5992786_2.fastq.gz
SAMEA9088900	ERR5992787_1.fastq.gz	ERR5992787_2.fastq.gz
SAMEA9088901	ERR5992788_1.fastq.gz	ERR5992788_2.fastq.gz
SAMEA9088902	ERR5992789_1.fastq.gz	ERR5992789_2.fastq.gz
SAMEA9088913	ERR5992800_1.fastq.gz	ERR5992800_2.fastq.gz
SAMEA9088914	ERR5992801_1.fastq.gz	ERR5992801_2.fastq.gz
SAMEA9088915	ERR5992802_1.fastq.gz	ERR5992802_2.fastq.gz
SAMEA9088916	ERR5992803_1.fastq.gz	ERR5992803_2.fastq.gz
SAMEA9088917	ERR5992804_1.fastq.gz	ERR5992804_2.fastq.gz
SAMEA9088919	ERR5992805_1.fastq.gz	ERR5992805_2.fastq.gz
SAMEA9088920	ERR5992806_1.fastq.gz	ERR5992806_2.fastq.gz
SAMEA9088921	ERR5992807_1.fastq.gz	ERR5992807_2.fastq.gz
SAMEA9088922	ERR5992808_1.fastq.gz	ERR5992808_2.fastq.gz
SAMEA9088923	ERR5992809_1.fastq.gz	ERR5992809_2.fastq.gz
SAMEA9088924	ERR5992810_1.fastq.gz	ERR5992810_2.fastq.gz
SAMEA9088925	ERR5992811_1.fastq.gz	ERR5992811_2.fastq.gz
SAMEA9088926	ERR5992812_1.fastq.gz	ERR5992812_2.fastq.gz
SAMEA9088927	ERR5992813_1.fastq.gz	ERR5992813_2.fastq.gz
SAMEA9088928	ERR5992814_1.fastq.gz	ERR5992814_2.fastq.gz
SAMEA9088929	ERR5992815_1.fastq.gz	ERR5992815_2.fastq.gz
SAMN02055705	SRR1236280_1.fastq.gz,SRR1798897_1.fastq.gz	NA
SAMN04306172	SRR3214894_1.fastq.gz	SRR3214894_2.fastq.gz
SAMN14328896	SRR8762341_1.fastq.gz	SRR8762341_2.fastq.gz
SAMN17203031	SRR13342017_1.fastq.gz,SRR13342018_1.fastq.gz,SRR13342019_1.fastq.gz,SRR13342020_1.fastq.gz,SRR13342021_1.fastq.gz,SRR13342022_1.fastq.gz,SRR13342023_1.fastq.gz,SRR13342024_1.fastq.gz	SRR13342017_2.fastq.gz,SRR13342018_2.fastq.gz,SRR13342019_2.fastq.gz,SRR13342020_2.fastq.gz,SRR13342021_2.fastq.gz,SRR13342022_2.fastq.gz,SRR13342023_2.fastq.gz,SRR13342024_2.fastq.gz
SAMN17847873	SRR13780271_1.fastq.gz	SRR13780271_2.fastq.gz
SAMN17847874	SRR13780282_1.fastq.gz	NA
SAMN17847877	SRR13780247_1.fastq.gz	SRR13780247_2.fastq.gz
SAMN17847881	SRR13780268_1.fastq.gz	SRR13780268_2.fastq.gz
SAMN17847882	SRR13780286_1.fastq.gz	NA
SAMN17847883	SRR13780256_1.fastq.gz	SRR13780256_2.fastq.gz
SAMN17847886	SRR13780274_1.fastq.gz	SRR13780274_2.fastq.gz
SAMN17847888	SRR13780288_1.fastq.gz	NA
SAMN17847889	SRR13780253_1.fastq.gz	SRR13780253_2.fastq.gz
SAMN17847891	SRR13780275_1.fastq.gz	NA
SAMN17847892	SRR13780255_1.fastq.gz	SRR13780255_2.fastq.gz
SAMN17847894	SRR13780263_1.fastq.gz	SRR13780263_2.fastq.gz
SAMN17847898	SRR13780276_1.fastq.gz	NA
SAMN17847900	SRR13780261_1.fastq.gz	SRR13780261_2.fastq.gz
SAMN17847902	SRR13780254_1.fastq.gz	SRR13780254_2.fastq.gz
SAMN17847905	SRR13780290_1.fastq.gz	NA
SAMN17847907	SRR13780252_1.fastq.gz	SRR13780252_2.fastq.gz
SAMN17847908	SRR13780281_1.fastq.gz	NA
SAMN17847909	SRR13780279_1.fastq.gz	NA
SAMN17847912	SRR13780280_1.fastq.gz	NA
SAMN17847916	SRR13780250_1.fastq.gz	SRR13780250_2.fastq.gz
SAMN17847917	SRR13780249_1.fastq.gz	SRR13780249_2.fastq.gz
SAMN17847918	SRR13780264_1.fastq.gz	SRR13780264_2.fastq.gz
SAMN17847919	SRR13780278_1.fastq.gz	NA
SAMN17847920	SRR13780246_1.fastq.gz	SRR13780246_2.fastq.gz
SAMN17847921	SRR13780273_1.fastq.gz	SRR13780273_2.fastq.gz
SAMN17847922	SRR13780262_1.fastq.gz	SRR13780262_2.fastq.gz
SAMN17847926	SRR13780284_1.fastq.gz	NA
SAMN17847927	SRR13780283_1.fastq.gz	NA
SAMN17847929	SRR13780272_1.fastq.gz	SRR13780272_2.fastq.gz
SAMN17847930	SRR13780285_1.fastq.gz	NA
SAMN17847933	SRR13780267_1.fastq.gz	SRR13780267_2.fastq.gz
SAMN17847935	SRR13780251_1.fastq.gz	SRR13780251_2.fastq.gz
SAMN17847937	SRR13780265_1.fastq.gz	SRR13780265_2.fastq.gz
SAMN17847938	SRR13780269_1.fastq.gz	SRR13780269_2.fastq.gz
SAMN17847939	SRR13780289_1.fastq.gz	NA
SAMN17847941	SRR13780260_1.fastq.gz	SRR13780260_2.fastq.gz
SAMN17847942	SRR13780266_1.fastq.gz	SRR13780266_2.fastq.gz
SAMN17847944	SRR13780248_1.fastq.gz	SRR13780248_2.fastq.gz
SAMN17847946	SRR13780270_1.fastq.gz	SRR13780270_2.fastq.gz
SAMN17847947	SRR13780257_1.fastq.gz	SRR13780257_2.fastq.gz
SAMN17847948	SRR13780287_1.fastq.gz	NA
SAMN17847949	SRR13780277_1.fastq.gz	NA
SAMN17847950	SRR13780258_1.fastq.gz	SRR13780258_2.fastq.gz
SAMN17847951	SRR13780291_1.fastq.gz	SRR13780291_2.fastq.gz
SAMN17847952	SRR13780259_1.fastq.gz	SRR13780259_2.fastq.gz
SAMN18140851	SRR13858960_1.fastq.gz	SRR13858960_2.fastq.gz
SAMN18140853	SRR13858959_1.fastq.gz	SRR13858959_2.fastq.gz
SAMN18140855	SRR13858958_1.fastq.gz	SRR13858958_2.fastq.gz
SAMN18140858	SRR13858957_1.fastq.gz	SRR13858957_2.fastq.gz
SAMN18140859	SRR13858956_1.fastq.gz	SRR13858956_2.fastq.gz
SAMN18140861	SRR13858955_1.fastq.gz	SRR13858955_2.fastq.gz
SAMN18140863	SRR13858954_1.fastq.gz	SRR13858954_2.fastq.gz
SAMN18140865	SRR13858953_1.fastq.gz	SRR13858953_2.fastq.gz
SAMN18140866	SRR13858952_1.fastq.gz	SRR13858952_2.fastq.gz
SAMN18140868	SRR13858951_1.fastq.gz	SRR13858951_2.fastq.gz
SAMN18140869	SRR13858950_1.fastq.gz	SRR13858950_2.fastq.gz
SAMN18140870	SRR13858949_1.fastq.gz	SRR13858949_2.fastq.gz
SAMN18143377	SRR13860151_1.fastq.gz	SRR13860151_2.fastq.gz
SAMN18143378	SRR13860150_1.fastq.gz	SRR13860150_2.fastq.gz
SAMN18143379	SRR13860149_1.fastq.gz	SRR13860149_2.fastq.gz
SAMN18143398	SRR13860152_1.fastq.gz	SRR13860152_2.fastq.gz
SAMN20392124	SRR16975618_1.fastq.gz	NA
SAMN20392140	SRR16975651_1.fastq.gz	NA
SAMN20392181	SRR16975605_1.fastq.gz	NA
SAMN20392227	SRR16975617_1.fastq.gz	NA
SAMN20392256	SRR16975645_1.fastq.gz	NA
SAMN20392275	SRR16975648_1.fastq.gz	NA
SAMN24838613	SRR17551577_1.fastq.gz	SRR17551577_2.fastq.gz
SAMN24838614	SRR17551568_1.fastq.gz	SRR17551568_2.fastq.gz
SAMN24838615	SRR17551569_1.fastq.gz	SRR17551569_2.fastq.gz
SAMN24838616	SRR17551580_1.fastq.gz	SRR17551580_2.fastq.gz
SAMN24838617	SRR17551570_1.fastq.gz	SRR17551570_2.fastq.gz
SAMN24838618	SRR17551571_1.fastq.gz	SRR17551571_2.fastq.gz
SAMN24838619	SRR17551583_1.fastq.gz	SRR17551583_2.fastq.gz
SAMN24838620	SRR17551572_1.fastq.gz	SRR17551572_2.fastq.gz
SAMN33179714	SRR25837501_1.fastq.gz	NA
SAMN33179715	SRR25837441_1.fastq.gz	NA
SAMN33179716	SRR25837459_1.fastq.gz	NA
SAMN33179717	SRR25837473_1.fastq.gz	NA
SAMN33179718	SRR25837505_1.fastq.gz	NA
SAMN33179719	SRR25837489_1.fastq.gz	NA
SAMN33179720	SRR25837451_1.fastq.gz	NA
SAMN33179721	SRR25837464_1.fastq.gz	NA
SAMN33179723	SRR25837479_1.fastq.gz	NA
SAMN33179724	SRR25837465_1.fastq.gz	NA
SAMN33179725	SRR25837500_1.fastq.gz	NA
SAMN33179726	SRR25837506_1.fastq.gz	NA
SAMN33179727	SRR25837450_1.fastq.gz	NA
SAMN33179728	SRR25837446_1.fastq.gz	NA
SAMN33179729	SRR25837510_1.fastq.gz	NA
SAMN33179730	SRR25837490_1.fastq.gz	NA
SAMN33179731	SRR25837477_1.fastq.gz	NA
SAMN33179732	SRR25837458_1.fastq.gz	NA
SAMN33179733	SRR25837463_1.fastq.gz	NA
SAMN33179734	SRR25837445_1.fastq.gz	NA
SAMN33179735	SRR25837449_1.fastq.gz	NA
SAMN33179736	SRR25837495_1.fastq.gz	NA
SAMN33179737	SRR25837462_1.fastq.gz	NA
SAMN33179738	SRR25837454_1.fastq.gz	NA
SAMN33179739	SRR25837476_1.fastq.gz	NA
SAMN33179740	SRR25837497_1.fastq.gz	NA
SAMN33179741	SRR25837466_1.fastq.gz	NA
SAMN33179742	SRR25837485_1.fastq.gz	NA
SAMN33179743	SRR25837460_1.fastq.gz	NA
SAMN33179744	SRR25837491_1.fastq.gz	NA
SAMN33179745	SRR25837442_1.fastq.gz	NA
SAMN33179746	SRR25837484_1.fastq.gz	NA
SAMN33179747	SRR25837483_1.fastq.gz	NA
SAMN33179748	SRR25837508_1.fastq.gz	NA
SAMN33179749	SRR25837503_1.fastq.gz	NA
SAMN33179750	SRR25837493_1.fastq.gz	NA
SAMN33179751	SRR25837494_1.fastq.gz	NA
SAMN33179752	SRR25837453_1.fastq.gz	NA
SAMN33179753	SRR25837455_1.fastq.gz	NA
SAMN33179754	SRR25837471_1.fastq.gz	NA
SAMN33179755	SRR25837488_1.fastq.gz	NA
SAMN33179756	SRR25837468_1.fastq.gz	NA
SAMN33179757	SRR25837448_1.fastq.gz	NA
SAMN33179758	SRR25837507_1.fastq.gz	NA
SAMN33179759	SRR25837480_1.fastq.gz	NA
SAMN33179760	SRR25837492_1.fastq.gz	NA
SAMN33179761	SRR25837499_1.fastq.gz	NA
SAMN33179762	SRR25837504_1.fastq.gz	NA
SAMN33179763	SRR25837481_1.fastq.gz	NA
SAMN33179764	SRR25837444_1.fastq.gz	NA
SAMN33179765	SRR25837498_1.fastq.gz	NA
SAMN33179766	SRR25837502_1.fastq.gz	NA
SAMN33179767	SRR25837470_1.fastq.gz	NA
SAMN33179768	SRR25837456_1.fastq.gz	NA
SAMN33179769	SRR25837486_1.fastq.gz	NA
SAMN33179770	SRR25837472_1.fastq.gz	NA
SAMN33179771	SRR25837467_1.fastq.gz	NA
SAMN33179772	SRR25837475_1.fastq.gz	NA
SAMN33179773	SRR25837469_1.fastq.gz	NA
SAMN33179774	SRR25837509_1.fastq.gz	NA
SAMN33179775	SRR25837443_1.fastq.gz	NA
SAMN33179776	SRR25837457_1.fastq.gz	NA
SAMN33179777	SRR25837447_1.fastq.gz	NA
SAMN33179778	SRR25837496_1.fastq.gz	NA
SAMN33179779	SRR25837452_1.fastq.gz	NA
SAMN33179780	SRR25837474_1.fastq.gz	NA
SAMN33179781	SRR25837482_1.fastq.gz	NA
SAMN33179782	SRR25837478_1.fastq.gz	NA
SAMN33179783	SRR25837487_1.fastq.gz	NA
SAMN36537999	SRR25294043_1.fastq.gz	NA
SAMN36538008	SRR25294044_1.fastq.gz	NA
SAMN42203629	SRR30228498_1.fastq.gz	SRR30228498_2.fastq.gz
SAMN42203632	SRR30228503_1.fastq.gz	SRR30228503_2.fastq.gz
SAMN42203635	SRR30228496_1.fastq.gz	SRR30228496_2.fastq.gz
SAMN42203638	SRR30228494_1.fastq.gz	SRR30228494_2.fastq.gz
SAMN42203639	SRR30228500_1.fastq.gz	SRR30228500_2.fastq.gz
SAMN42203640	SRR30228538_1.fastq.gz	SRR30228538_2.fastq.gz
SAMN42203641	SRR30228501_1.fastq.gz	SRR30228501_2.fastq.gz
SAMN43231945	SRR30544515_1.fastq.gz	SRR30544515_2.fastq.gz
SAMN43231951	SRR30544490_1.fastq.gz	SRR30544490_2.fastq.gz
SAMN43231955	SRR30544526_1.fastq.gz	SRR30544526_2.fastq.gz
SAMN43231964	SRR30544499_1.fastq.gz	SRR30544499_2.fastq.gz
SAMN43231968	SRR30544518_1.fastq.gz	SRR30544518_2.fastq.gz
SAMN43231971	SRR30544538_1.fastq.gz	SRR30544538_2.fastq.gz
SAMN43231976	SRR30544585_1.fastq.gz	SRR30544585_2.fastq.gz
SAMN43231978	SRR30544484_1.fastq.gz	SRR30544484_2.fastq.gz
SAMN43231984	SRR30544583_1.fastq.gz	SRR30544583_2.fastq.gz
SAMN43231986	SRR30544535_1.fastq.gz	SRR30544535_2.fastq.gz
SAMN43231989	SRR30544487_1.fastq.gz	SRR30544487_2.fastq.gz
SAMN43231995	SRR30544546_1.fastq.gz	SRR30544546_2.fastq.gz
SAMN43232001	SRR30544543_1.fastq.gz	SRR30544543_2.fastq.gz
SAMN43232009	SRR30544504_1.fastq.gz	SRR30544504_2.fastq.gz
SAMN43232012	SRR30544496_1.fastq.gz	SRR30544496_2.fastq.gz
SAMN43232016	SRR30544528_1.fastq.gz	SRR30544528_2.fastq.gz
SAMN43232020	SRR30544523_1.fastq.gz	SRR30544523_2.fastq.gz
SAMN43232026	SRR30544481_1.fastq.gz	SRR30544481_2.fastq.gz
SAMN43232028	SRR30544513_1.fastq.gz	SRR30544513_2.fastq.gz
SAMN43232032	SRR30544507_1.fastq.gz	SRR30544507_2.fastq.gz
